eh1	eh2
289	258
190	254
484	592
279	379
1306	1207
689	575
639	508
511	492
907	862
885	888
323	378
548	884
801	620
198	204
602	444
388	261
2634	2670
557	786
973	1087
496	591
386	361
415	390
816	637
396	396
475	472
164	179
591	464
570	513
384	425
271	248
293	332
1504	1640
558	418
714	667
381	340
639	673
616	567
328	459
478	475
291	220
166	135
393	497
774	721
542	539
574	722
468	423
972	843
692	626
652	743
707	724
797	745
484	492
375	247
622	731
317	355
454	438
243	603
409	518
601	551
346	286
140	145
499	394
490	498
975	747
971	930
276	291
521	514
788	1010
722	841
302	290
665	749
886	897
718	674
1097	1050
194	204
1145	1157
1282	1180
667	691
785	492
551	519
918	943
607	518
658	827
501	437
434	591
903	753
330	344
655	548
1391	1299
178	194
984	1083
712	620
665	600
558	535
337	263
251	428
522	469
342	316
476	447
398	488
143	259
151	219
340	286
429	361
923	804
804	774
185	194
439	460
1141	975
387	510
403	343
730	637
622	825
270	309
1318	1269
800	796
1271	1227
722	341
281	262
397	427
272	787
992	1194
227	287
287	272
889	843
285	297
387	364
390	590
631	655
853	803
763	689
386	351
593	784
263	308
386	217
613	660
745	555
648	659
1927	1759
766	736
689	646
520	531
423	276
394	574
304	309
838	814
746	769
609	616
524	532
923	918
1358	1344
516	557
1802	1837
185	238
228	338
810	826
737	776
397	372
496	326
378	354
710	644
647	699
603	595
238	242
1009	1027
273	395
276	310
857	836
252	387
462	544
324	466
740	699
1050	892
589	497
380	358
290	439
280	263
971	963
188	130
252	282
136	157
548	454
325	332
794	947
415	389
510	419
546	583
317	334
615	475
91	92
467	486
278	288
123	112
693	566
510	471
787	881
315	277
1148	1268
458	429
2396	1904
334	331
394	366
263	248
1222	1378
355	581
1112	1107
842	697
457	428
305	422
759	704
674	754
369	291
565	396
668	619
335	341
119	113
736	679
283	270
505	413
961	1363
554	566
373	390
604	528
595	531
967	874
569	674
568	647
198	206
552	618
778	803
555	546
96	184
659	609
724	655
338	280
767	937
450	501
1738	1399
489	507
232	190
633	590
383	369
698	848
697	709
433	334
1782	2372
686	630
486	518
278	238
419	430
761	781
907	1544
542	572
253	314
152	198
93	167
762	855
477	375
547	542
340	269
508	642
361	369
709	795
396	426
925	848
448	615
343	319
529	466
831	541
351	378
393	401
177	156
722	774
1158	1256
416	240
688	763
541	455
207	206
405	453
400	455
438	493
384	388
968	1049
996	1698
556	351
2100	1591
535	584
1619	1385
496	434
639	777
314	323
522	516
443	491
435	480
443	449
387	380
372	585
457	464
928	963
1279	1223
839	834
709	698
418	414
346	295
249	264
272	212
700	595
506	396
155	178
499	523
1326	1391
455	357
755	858
590	567
272	293
1146	1046
967	844
749	573
399	336
392	383
575	450
1192	1083
729	874
169	188
144	155
315	460
425	404
185	212
485	537
567	402
629	608
213	233
363	320
108	91
249	254
805	1274
520	651
345	392
503	525
341	286
294	318
598	626
329	426
181	181
583	768
603	312
581	545
786	1026
246	210
636	581
180	220
760	839
639	585
291	261
741	499
591	739
198	134
2065	1803
478	457
646	507
1044	1228
651	622
239	321
1095	1092
403	376
927	1185
261	181
248	325
620	516
331	541
227	256
108	185
315	364
180	239
492	593
366	341
253	196
167	197
870	907
773	708
579	600
383	351
377	398
791	1392
1339	1219
788	726
916	723
386	421
733	747
1430	1226
523	518
679	654
353	322
1412	1108
392	346
982	1091
339	290
723	945
405	423
514	624
1038	866
905	849
422	386
513	1821
870	746
453	461
641	696
863	673
1647	1671
161	203
267	272
784	806
736	710
178	204
590	492
447	328
536	539
467	399
1688	1644
762	833
988	907
269	275
311	459
278	397
584	769
292	443
883	895
788	726
913	999
494	502
825	832
389	386
253	257
217	255
616	603
801	1014
442	472
196	255
821	777
566	524
300	377
869	766
506	506
1041	797
274	342
425	417
860	892
275	257
362	350
986	1154
